Número de Noticia,Titulo
Noticia 1,Noticias destacadas de Judicial
Noticia 2,Deportes
Noticia 3,Entretenimiento
Noticia 4,Espectagrama
Noticia 5,Autos
Noticia 6,Maestría Oficial en Ciberdelincuencia
Noticia 7,Administración de Empresas. Carrera Virtual
Noticia 8,"Maestría en Derecho Internacional Humanitario, Derechos Humanos y Operacional"
Noticia 9,El Mundo de las Bebidas Destiladas: Tradición y Cata
Noticia 10,Mundo Destinos
Noticia 11,Tecnología
Noticia 12,Opinión
Noticia 13,Horóscopo
